current_price,high_52w,low_52w,drawdown_pct,ma_25,ma_200,rsi_14,volume_avg_25,code,name
3894.0,4210.0,1587.124581287755,-7.505938242280285,3795.56,2652.880690917969,49.863945578231295,1843940.0,6323,ローツェ株式会社
48750.0,57700.0,4541.884232545384,-15.511265164644714,45737.2,22712.16973388672,48.0450422270879,2246932.0,5706,三井金属株式会社
1497.5,2341.7266947006287,1460.5,-36.05146136870411,1561.08,1799.544732055664,43.63929146537843,1631236.0,3635,株式会社コーエーテクモホールディングス
6000.0,9913.404276760428,2657.7873952649074,-39.47588706671083,6674.4,6964.000322265625,31.380753138075306,338764.0,6814,古野電気株式会社
78380.0,79350.0,42828.873335374665,-1.2224322621298047,73547.6,58812.75822265625,59.39933259176863,1187488.0,9983,株式会社ファーストリテイリング
1636.5,2938.314737173227,1611.0,-44.304809171859624,1797.94,2375.3601171875,23.0,1047712.0,6417,株式会社三共
3475.0,5008.71931946907,3258.0,-30.620987554791668,3510.24,3976.8588684082033,42.04545454545455,730156.0,5929,三和ホールディングス株式会社
8124.0,8289.0,2586.842840681385,-1.9905899384726744,6872.64,5167.266870117188,57.524557956778,7302692.0,6525,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
1772.0,1885.8557445838142,1482.6852642022764,-6.037351738636868,1726.38,1712.8042926025391,63.40640809443508,1295860.0,4732,株式会社ユー・エス・エス
7431.0,7667.0,3962.580397439861,-3.0781270379548715,7018.16,5677.361101074219,69.85998526160648,675840.0,4021,日産化学株式会社
7263.0,7857.0,3499.7975240617225,-7.560137457044673,7000.16,5392.421961669922,41.9238683127572,2126080.0,6383,株式会社ダイフク
2563.5,3545.8343389980782,2509.0,-27.703898295362823,2662.92,3096.8722143554687,38.598130841121495,258636.0,9759,株式会社ＮＳＤ
1642.5,1645.0,1219.0500156933824,-0.1519756838905775,1488.8,1416.3182269287108,79.69401947148818,1613836.0,6845,アズビル株式会社
3678.0,5631.389245164875,3551.0,-34.68751954665645,3732.32,4349.813916015625,51.906976744186046,2559104.0,7832,株式会社バンダイナムコホールディングス
4315.0,8450.0,2418.7109071658942,-48.934911242603555,4757.2,4346.561987304687,41.66666666666667,364800.0,4107,伊勢化学工業株式会社
2070.0,2880.0,1728.0,-28.125,2148.2,2254.454464111328,34.339622641509436,387084.0,4812,株式会社電通総研
4353.0,5476.449700689935,3139.567793949222,-20.514197374046912,4454.48,4550.989555664062,40.701001430615165,388140.0,7988,株式会社ニフコ
7010.0,7546.701570680628,4259.607514565678,-7.111737037088421,6976.0,6253.453015136719,38.01652892561983,285488.0,6432,株式会社竹内製作所
2423.0,3559.4373231966056,2201.5416160006935,-31.927443020011125,2627.32,2766.295064697266,37.36689254598257,508600.0,4816,東映アニメーション株式会社
19120.0,26457.005369196777,17753.84765625,-27.731805874519218,19755.8,21292.44888671875,49.94897959183674,600148.0,9766,コナミグループ株式会社
2436.0,4472.696396484375,2317.0,-45.53620939005065,2634.8,3427.980811767578,33.12883435582822,645864.0,7906,ヨネックス株式会社
72410.0,85650.0,33676.95344309853,-15.45826036193812,72404.8,50596.588046875,53.64169108413562,227496.0,5344,株式会社ＭＡＲＵＷＡ
3930.0,4365.0,2856.1901230575113,-9.965635738831615,3939.4,3674.869929199219,55.24475524475525,171280.0,9336,大栄環境株式会社
1821.5,2125.4902108099714,1276.960817618663,-14.302122365180326,1682.66,1762.5224493408202,64.06074240719909,5550968.0,7733,オリンパス株式会社
4045.0,5550.539445892505,3655.6037724650846,-27.124200459590103,4164.04,4614.955085449219,39.73655323819978,1869968.0,4684,株式会社オービック
3505.0,3889.0,1600.32266948275,-9.874003599897147,3316.48,2415.3589544677734,60.86666666666666,762568.0,5393,ニチアス株式会社
